latitude,longitude
38.9087,-79.8569
38.88,-79.85
39.0417,-80.4707
38.9011,-80.83
39.0577,-82.1854
39.0582,-82.1849
38.9968,-82.0569
38.43,-82.45
39.5517,-81.6531
39.5401,-81.6463
39.5348,-81.5824
39.5679,-81.5653
39.565,-81.5968
39.5573,-81.6404
39.2812,-82.455
39.2854,-82.3115
39.3571,-82.3115
39.3603,-82.4824
39.5752,-82.255
39.5677,-82.1524
39.6813,-82.1455
39.6947,-82.3372
39.6149,-82.3489
39.6024,-82.2476
39.7777,-82.0809
39.7798,-82.1839
39.7317,-82.2139
39.7024,-82.0907
39.7777,-82.0809
39.7798,-82.1839
39.8674,-82.272
39.8622,-82.1748
39.8176,-82.1775
39.8141,-82.0768
39.2959,-82.4698
39.3381,-82.4183
39.3811,-82.4067
39.3835,-82.3803
39.3229,-82.3875
39.2836,-82.4542
39.2402,-82.3817
39.2745,-82.3766
36.51,-91.8
37.27,-92.31
37.2726,-92.3069
36.76,-94.56
36.7789,-94.532
37.4683,-92.9169
37.4843,-92.8904
37.0546,-93.9592
37.0931,-93.8995
36.5307,-91.544
36.5358,-91.5347
37.2173,-93.8474
37.2267,-93.8378
37.2993,-93.6678
37.31,-93.66
36.64,-93.89
36.75,-93.38
36.73,-93.05
36.93,-93.05
36.73,-93.67
39.1021,-85.1585
39.1195,-85.2237
39.15,-84.83
39.1964,-84.8282
39.2052,-84.8797
39.1589,-84.8735
39.1322,-84.89
39.1312,-84.8289
39.1088,-84.8282
39.0912,-84.8831
39.17,-85.24
39.14,-85.14
39.22,-84.86
39.12,-85.41
38.94,-85.21
38.95,-84.94
38.8033,-84.9436
38.9303,-84.9303
38.9885,-85.0008
39.0011,-84.8843
39.09,-84.97
38.9852,-85.0841
38.9927,-85.001
39.13,-85.22
39.1074,-85.2201
39.0492,-85.2182
39.0518,-85.1825
39.1397,-85.1907
39,-85.36
38.9503,-85.3748
38.9573,-85.3239
39.0016,-85.3116
39.06,-85.24
39.0827,-85.2587
39.0765,-85.2179
39.0531,-85.2086
39.17,-84.91
39.2424,-84.8941
39.2366,-84.8254
39.185,-84.8309
39.13,-85.3
39.1224,-85.3006
39.1246,-85.2816
39.1314,-85.2828
38.7838,-84.1667
38.49,-83.58
38.49,-83.51
38.82,-84.79
38.97,-84.72
38.97,-84.61
38.97,-84.6
38.96,-84.55
38.54,-83.74
38.5,-83.57
38.5284,-83.1584
38.69,-85.14
38.68,-85.16
38.5166,-84.8229
38.8901,-84.7626
39.05,-84.66
38.94,-84.54
38.97,-84.72
38.77,-84.6
38.95,-84.38
38.79,-84.17
38.54,-83.74
38.557,-83.8257
38.76,-84.35
38.7516,-84.213
