latitude,longitude
38.5137,-87.2701
46.3662,-123.5404
46.3765,-123.5601
46.3633,-123.6213
46.3109,-123.6985
46.2943,-123.6717
35.07,-85.26
35.06,-85.63
44.9104,-123.1622
45.0114,-123.1073
44.9901,-122.948
44.8471,-122.8903
44.8111,-122.9727
44.5934,-123.0249
44.5885,-123.1495
44.6823,-123.1595
44.6867,-123.0201
44.6965,-122.8423
44.6954,-122.8607
44.7118,-122.8612
44.7142,-122.8404
37.07,-87
37.2,-87.18
38.05,-83.95
37.9233,-83.616
37.87,-83.35
37.85,-83.87
37.4969,-84.0349
37.5493,-83.7587
37.55,-83.38
37.55,-83.38
37.6107,-83.1413
37.65,-82.87
37.5495,-82.7758
37.63,-82.7017
37.69,-83.95
37.62,-83.91
37.71,-84.06
19.5137,-154.8962
19.3463,-155.0157
19.5293,-154.9182
19.3739,-155.2148
19.4309,-155.1819
19.0782,-155.6104
22.2116,-159.4762
22.2103,-159.4765
22.2107,-159.4754
22.2114,-159.4755
22.1028,-159.3205
22.099,-159.3107
22.0974,-159.3115
22.102,-159.3221
31.62,-90.45
31.79,-90.16
31.74,-90.22
31.7769,-90.1905
31.4223,-89.404
31.4264,-89.2145
31.2481,-89.2193
31.2716,-89.3985
31.6821,-89.1671
31.6809,-89.1039
31.758,-89.0964
31.758,-89.1657
31.44,-85.64
31.041,-85.866
31.44,-85.64
31.22,-85.39
31.21,-83.79
31.23,-83.46
31.22,-83.36
31.22,-83.32
30.911,-84.58
30.784,-84.8684
30.6824,-83.2355
31.45,-83.5
31.6012,-84.245
31.0074,-84.2468
31.1017,-83.6189
31.6136,-84.2198
31.6037,-84.0983
31.5493,-84.099
31.5525,-84.2236
31.3,-84.9435
31.3,-84.87
31.17,-84.73
31.14,-84.53
31.31,-84.62
31.31,-84.33
31.11,-84.49
31.13,-83.42
31.2,-83.25
31.21,-83.06
31.17,-83.9492
31.17,-83.78
30.88,-84.32
30.87,-84.2
31.46,-83.99
31.53,-83.83
31.5,-83.74
31.07,-84.09
31.23,-84.21
31.12,-84.4374
31.12,-84.15
31.48,-84.22
31.5,-84.21
31.57,-84.17
30.88,-84.73
30.9,-84.57
46.6799,-85.9717
38.23,-86.86
38.45,-86.8
38.47,-86.66
38.53,-85.77
37.78,-86.45
37.7,-85.87
37.48,-85.62
37.81,-85.12
36.73,-86.57
37.93,-85.02
38.15,-84.68
27.4,-81.78
27.63,-81.88
27.04,-81.36
27.1413,-81.3455
27.27,-81.44
27.3452,-81.4222
27.96,-81.68
27.97,-81.67
27.95,-81.68
28.04,-81.68
27.7,-82.74
27.74,-82.72
28.7,-82.47
28.77,-82.45
27.2714,-81.023
27.2841,-81.0122
28.2372,-82.715
28.2419,-82.7121
27.8783,-82.8437
27.8878,-82.8379
