latitude,longitude
35.54,-118.55
36.81,-119.83
36.7565,-119.8224
36.7735,-119.7513
36.8324,-119.7585
36.33,-119.56
37,-119.7
35.2,-118.83
27.78,-97.67
27.77,-98.25
28.2457,-97.9177
37.5,-92.02
37.69,-91.54
37.74,-92.66
36.85,-92.62
37.37,-92.51
37.04,-92.26
38.29,-91.72
38,-91.58
38.19,-91.95
37.39,-92.83
38.26,-92.27
38.23,-92.44
38.41,-92.53
37.32,-92.28
37.29,-92.56
37.32,-92.51
37.11,-92.58
38.19,-91.95
38,-91.61
18.33,-65.5843
17.9671,-64.57
33.48,-77.58
33.88,-78.3849
34.2334,-77.7733
34.22,-77.78
34.24,-77.8
36.3107,-76.2177
36.47,-75.85
36.0188,-76.5567
36.1288,-76.4066
36.2488,-76.2935
36.22,-76.17
36.27,-76.08
39.3434,-102.6
39.62,-102.4835
38.646,-102.127
39.4882,-102.6
39.62,-102.4835
39.93,-102.2045
40.08,-102.23
39.6588,-102.4785
38.7363,-102.0411
39.6608,-101.23
39.7332,-101.23
39.7933,-101.2156
39.849,-101.23
39.693,-100.9924
39.5537,-101.2
39.53,-100.57
39.53,-100.57
39.5305,-100.2953
39.4621,-99.9692
39.6,-100
39.4658,-99.97
39.4703,-100.2345
39.5437,-99.85
39.37,-99.85
39.37,-99.7564
39.62,-100.42
39.4803,-101.72
39.9592,-101.05
39.4631,-100.5341
39.9647,-100.52
39.4,-99.6575
26.55,-97.3976
37.46,-93.27
37.08,-94.51
37.01,-92.66
36.95,-92.66
36.73,-91.85
37.79,-93.6
37.19,-93.29
37.87,-93.52
37.86,-94
36.88,-93.95
36.92,-93.93
37.2,-93.29
36.99,-91.49
38.395,-93.3673
38.2339,-93.4387
38.2339,-93.2437
38.4815,-93.219
38.4815,-93.3398
37.7544,-93.8713
37.7403,-93.7189
37.6447,-93.7299
37.6594,-93.861
37.9572,-94.5868
37.9659,-94.2737
37.7599,-94.2847
37.7805,-94.6074
38.0005,-93.3893
37.877,-93.5527
37.8922,-93.219
38.0275,-93.2327
37.4029,-93.598
37.392,-93.127
37.1242,-93.1256
37.1209,-93.5829
37.7685,-92.7741
37.7577,-92.5818
37.6316,-92.59
37.6403,-92.7672
36.7158,-93.2629
34,-81.02
34.155,-80.8959
34.155,-80.8959
33.558,-81.9841
34.17,-80.7825
34.17,-81.35
40.0363,-96.5906
40.0368,-96.5871
40.0465,-96.5846
40.2631,-96.2799
40.2744,-96.2917
40.2848,-96.3059
40.2829,-96.3104
40.2766,-96.3052
40.2677,-96.29
40.2628,-96.2839
40.2618,-96.2826
40.2619,-96.2747
40.2138,-96.2341
40.2118,-96.2414
37.3036,-89.4919
37.1072,-89.3408
37.133,-89.2873
37.2708,-89.3024
38.38,-88.05
38.3514,-88.1289
38.3411,-88.0177
38.3807,-87.9899
37.92,-88.77
37.8879,-88.957
38.0335,-88.9522
38.0243,-88.7695
37.78,-88.27
37.711,-88.3507
37.7045,-88.1907
37.8087,-88.2017
38.2,-88.68
38.0221,-88.694
38.0275,-88.4152
38.2047,-88.4496
37.47,-88.17
37.4465,-88.326
37.5108,-88.3363
37.5163,-88.1811
37.88,-89.5
37.8965,-89.2378
37.6849,-89.1589
37.699,-89.5001
38.43,-88.93
38.3933,-88.7517
38.2252,-88.8039
38.1929,-89.106
37.55,-88.97
37.544,-88.8217
37.3647,-88.8039
37.3188,-88.981
37.32,-88.72
37.321,-88.9027
37.2391,-88.9213
37.1302,-88.6068
38.17,-89.53
37.9994,-89.5496
37.9864,-89.2104
38.1518,-89.2227
37.55,-88.67
37.3243,-88.6693
37.25,-88.5416
37.5533,-88.4976
37.27,-89.18
37.0924,-89.2117
37.2216,-89.025
37.2828,-88.9934
37.83,-88.62
37.6653,-88.6583
37.6501,-88.4221
37.838,-88.4097
37.45,-89.4
37.5304,-89.463
37.5478,-89.2419
37.332,-89.1451
37.3527,-89.3875
38.55,-87.87
38.5589,-87.6819
38.4703,-87.7698
38.3567,-87.8453
38.52,-88.53
38.5192,-88.223
38.3309,-88.2401
38.305,-88.6446
38.25,-88.27
38.2608,-87.9923
38.1286,-87.9881
38.0156,-88.2326
37.78,-89.12
37.6713,-89.128
37.6262,-88.8272
