latitude,longitude
30.909,-102.28
31.4205,-101.604
30.5378,-102.2139
30.92,-101.88
30.92,-101.88
30.92,-101.88
30.6054,-101.8721
30.67,-101.83
31.1155,-102.23
30.7367,-102.1132
36.58,-83.64
36.58,-83.64
36.53,-82.56
36.34,-82.23
36.69,-83.12
36.16,-83.36
35.98,-84.27
35.97,-84.26
35.8,-84.27
35.81,-83.25
35.92,-84.18
35.71,-84.67
35.92,-84.18
35.6,-84.56
35.67,-84.2
35.58,-84.1
36.16,-84.59
36.16,-84.59
36.09,-82.48
36.48,-83.51
36.27,-83.58
36.56,-82.66
36.53,-82.56
35.97,-83.95
39.47,-82.13
38.5905,-82.2815
38.5645,-82.72
38.63,-82.6885
38.7,-82.63
38.7,-82.47
38.6051,-82.4735
38.5645,-82.38
38.4676,-82.3748
38.4364,-82.4737
38.85,-82.12
39.07,-81.57
39.2716,-81.0042
39.27,-80.9894
38.4109,-81.6263
38.5393,-81.9041
37.4775,-81.9908
37.4879,-81.9522
37.5043,-81.9414
37.5104,-81.9294
37.4683,-81.8827
37.4383,-81.9247
37.4528,-81.9654
37.4604,-81.9867
37.79,-81.19
38.0393,-81.791
38.03,-81.97
38.0411,-81.83
38.23,-81.85
38.17,-81.92
38.22,-82.12
38.27,-82.03
38.43,-82.13
38.4505,-82.1039
38.5505,-82.1738
38.5718,-82.2842
38.4566,-82.3071
37.75,-81.13
37.82,-81.15
38.478,-82.2242
38.4783,-82.2149
38.3371,-81.6061
39.4318,-77.5272
39.4156,-77.5232
35.2,-118.67
35.64,-118.41
36.49,-119.52
36.4964,-119.5484
36.473,-119.5251
36.4804,-119.4856
36.5053,-119.5107
37.47,-119.74
36.86,-119.71
36.86,-119.71
36.81,-119.65
35.73,-118.7
37.47,-119.74
36.55,-119.39
36.5334,-119.4166
36.5212,-119.3783
36.5384,-119.3555
36.33,-119.32
39.6839,-77.2232
39.6831,-77.2353
39.6775,-77.2335
39.6784,-77.2237
39.2515,-76.757
39.2517,-76.7616
39.2496,-76.7611
39.2497,-76.7573
39.5379,-76.5275
39.537,-76.5317
39.5356,-76.5311
39.5358,-76.5283
39.4952,-76.6441
39.4956,-76.6547
39.4885,-76.6538
39.4883,-76.6446
39.5207,-76.5754
41.4354,-82.0535
41.3732,-82.0376
41.3892,-81.9776
41.4253,-81.9804
41.4188,-82.0234
41.13,-81.43
41.0798,-81.533
41.033,-81.5015
41.0763,-81.4315
41.1018,-81.2039
41.0861,-81.2046
41.094,-81.3726
41.0994,-81.3721
41.4969,-82.0733
41.4601,-82.0678
41.4552,-82.1063
41.4891,-82.1007
41.42,-82.33
41.47,-82.18
41.17,-82.12
41.13,-81.87
41.1198,-81.8564
41.13,-81.8508
40.87,-82.3
41.3413,-82.0198
41.3531,-82.0016
41.1,-81.63
41.23,-81.83
41.08,-81.5
41.23,-82.12
41.08,-81.5
41.13,-81.87
41.3474,-82.0332
41.3358,-82.0194
41.086,-81.864
41.086,-81.86
46.2902,-96.0848
46.2902,-96.0552
46.2698,-96.0552
46.2698,-96.0848
46.88,-97.29
46.12,-97.81
48.12,-98.89
46.85,-97.29
37.5979,-105.613
37.602,-105.6149
38.41,-103.7
38.7011,-104.18
36.29,-97.29
36.12,-97.24
35.41,-97.44
35.46,-97.39
35.42,-97.39
35.46,-97.39
35.66,-97.12
35.22,-97.44
35.16,-97.52
35.39,-97.32
35.14,-97.39
34.63,-97.77
34.13,-97.43
34.16,-97.43
34.2,-96.89
34.66,-96.03
33.83,-96.54
34,-96.04
34.59,-97.71
34.588,-97.704
34.58,-97.66
34.69,-99.92
34.5,-99.69
34.47,-99.65
34.5,-99.61
34.55,-99.42
34.31,-99.88
34.26,-99.51
33.63,-98.02
34.99,-99.9
35.11,-99.87
34.6,-99.92
35,-98.87
35.12,-99.11
35.17,-99.06
35.16,-99.36
36.74,-98.36
35.98,-97.03
36.02,-96.9
33.95,-99.72
33.98,-99.72
33.85,-99.53
33.79,-99.18
34.06,-99.26
34.11,-99.27
34.13,-99.13
34.11,-99.11
33.96,-98.65
33.99,-98.51
33.98,-98.5
41.7946,-81.0726
41.7485,-81.0738
41.7638,-81.0071
41.8069,-81.0147
41.8088,-80.9636
41.8215,-80.9366
41.7855,-80.9239
41.7857,-80.9623
40.5,-82.82
34.2,-102.73
34.23,-102.73
34.235,-102.686
34.12,-102.516
33.46,-102.49
33.81,-102.16
34.63,-102.73
34.02,-102.4
34.09,-102.14
34.4234,-102.12
34.6505,-102.7051
34.5705,-102.2952
33.58,-102.37
34.5411,-101.7375
33.5,-102.02
33.58,-101.9195
47.2955,-117.3726
47.2844,-117.3683
47.2873,-117.3549
47.2979,-117.3597
47.7439,-116.8287
47.7457,-116.8286
47.7458,-116.8521
47.744,-116.8518
47.7877,-116.7452
47.7876,-116.7412
47.7726,-116.7411
47.7724,-116.7448
48.7889,-116.3842
48.7938,-116.3785
48.7876,-116.3126
48.7768,-116.3208
48.7776,-116.3593
47.14,-117.04
47.06,-116.61
47.06,-116.33
47.37,-116.33
47.37,-117.04
40.17,-95.94
41.7,-97.65
41.7,-97.6612
41.8,-97.5
41.7993,-97.5112
41.67,-97.69
42.2,-97.53
42.2579,-97.53
42.33,-97.53
42.35,-97.79
42.11,-96.36
41.64,-95.31
41.23,-95.18
31.8741,-89.7308
31.22,-89.36
32.33,-88.93
31.3284,-89.3374
31.3072,-89.3362
31.3058,-89.3058
31.3334,-89.3032
31.3331,-89.3298
31.316,-89.3578
31.3178,-89.3813
31.3267,-89.382
31.332,-89.3698
31.3294,-89.3623
32.99,-90.32
38.0371,-94.6419
38.16,-94.65
38.9325,-94.7025
38.93,-94.72
39.0221,-94.7773
39.0235,-94.7681
39.0604,-94.7038
38.94,-94.82
38.98,-94.85
39.25,-94.89
38.914,-94.7169
38.9132,-94.7168
38.9136,-94.7136
38.9139,-94.712
38.9151,-94.7075
38.9202,-94.7057
38.9204,-94.7068
38.9934,-93.9689
39.0157,-93.935
39.2246,-94.744
39.94,-94.83
39.47,-94.56
39.47,-94.56
39.38,-94.57
39,-94.13
39.8534,-94.1721
38.71,-93.99
39.89,-94.36
38.76,-93.73
38.58,-93.64
38.73,-93.55
39.36,-93.5
39.79,-93.55
39.79,-93.55
40.2,-93.12
40.2,-93.12
40.36,-93.22
39.02,-92.74
39.3441,-92.4152
39.51,-94.59
39.2,-94.7
38.1,-94.36
39.56,-94.46
39.82,-94.24
38.76,-93.73
39.13,-94.07
39.36,-93.5
39.43,-93.76
39.79,-93.3
40.03,-93.45
39.79,-93.3
39.78,-92.89
40.39,-93
39.48,-93.19
39.3,-94.72
39.56,-94.46
38.69,-97.24
38.92,-97.21
38.92,-97.21
38.92,-97.21
38.92,-97.21
38.92,-97.21
38.9,-97.11
38.9,-97.12
38.87,-97.15
39.09,-97.18
39.29,-97.02
39.18,-97.26
39.36,-96.91
39.52,-97.2
39.51,-97.86
39.42,-97.92
39.5202,-76.5808
39.5173,-76.5799
39.5179,-76.5759
39.5086,-76.6054
39.5082,-76.6095
39.5058,-76.6091
39.5062,-76.6051
39.3717,-76.4478
39.3716,-76.4515
39.369,-76.4512
39.3694,-76.4482
38.8105,-76.7491
38.8105,-76.7504
38.8095,-76.7505
38.8096,-76.7493
39.4862,-76.6451
39.4858,-76.6464
39.4851,-76.6458
39.4853,-76.645
39.1706,-77.0193
39.1705,-77.0204
39.1697,-77.0205
39.1698,-77.0193
39.0091,-77.0792
39.009,-77.0811
39.0075,-77.081
39.0074,-77.0791
39.1858,-77.0233
39.1851,-77.0281
